,DK1-offshore,DK1-onshore,DK2-offshore,DK2-onshore
2024-07-03 10:00:00,568.3198076069864,1576.3816630000001,371.12333433333333,196.29916633333335
2024-07-03 11:00:00,457.30705807993365,1629.4049988333334,355.815005,168.939167
2024-07-03 12:00:00,460.26625915681893,1554.3575135,258.31166583333334,176.68583166666667
2024-07-03 13:00:00,456.0012320533341,1511.7600098333332,273.8658345,135.29999925
2024-07-03 14:00:00,386.36064830584985,1453.4649963333334,320.81666566666667,133.83166558333332
2024-07-03 15:00:00,324.1546797847991,1228.2941691666667,272.039997,179.27500016666667
2024-07-03 16:00:00,254.74756191846478,946.6516775833334,249.36416758333334,230.01000208333335
2024-07-03 17:00:00,196.9200548209775,668.8966574166667,579.9383366666667,214.10916766666665
2024-07-03 18:00:00,271.09276578910925,476.7166723333333,520.89166,159.55416541666668
2024-07-03 19:00:00,304.9155572715351,377.8549983333333,409.8899995,144.17999783333335
2024-07-03 20:00:00,432.29197869678984,343.1699954166666,417.1066640833333,175.69999841666666
2024-07-03 21:00:00,463.7049308626152,438.4358316666667,461.07666775,186.42083241666668
2024-07-03 22:00:00,546.0891585713983,587.2308399166667,644.839175,215.07750075
2024-07-03 23:00:00,656.1944266130039,669.51667275,655.3191731666667,196.06166833333336
2024-07-04 00:00:00,784.8067606421663,773.4666594166666,600.5766602499999,169.67249933333332
2024-07-04 01:00:00,886.7552410868805,926.0133413333333,546.1249998333334,99.02333375
2024-07-04 02:00:00,915.6844936969906,1135.42250575,474.41416675,124.0541675
2024-07-04 03:00:00,979.0070083731447,1351.7183430833334,364.17583725000003,162.67416508333335
2024-07-04 04:00:00,1019.7143846481173,1631.4874876666665,518.9691721666667,187.86416616666668
2024-07-04 05:00:00,1108.6844388754841,1958.1166892499998,734.0091653333334,199.12583416666666
2024-07-04 06:00:00,894.26766937036,1890.5274861666667,726.8099975833334,242.80833291666667
2024-07-04 07:00:00,964.8579540306255,1449.8558247499998,748.6791636666667,318.34249625
2024-07-04 08:00:00,1121.2401312113016,1365.1691792499998,833.1991678333334,370.87999983333333
2024-07-04 09:00:00,942.203255134313,1664.6058350833334,907.61916625,407.3999989166667
2024-07-04 10:00:00,386.99179242877364,2111.56832875,601.3208261666667,380.4191640833333
2024-07-04 11:00:00,217.47489549611856,2097.9099935,551.8716736666667,293.3541666666667
2024-07-04 12:00:00,107.64068817178341,2001.7266744166666,400.57417050000004,346.6374994166667
2024-07-04 13:00:00,170.39866281022944,1780.3558452500001,190.06166725,453.38749950000005
2024-07-04 14:00:00,191.20345406029463,1703.5391745833333,184.90666441666667,494.43999983333333
2024-07-04 15:00:00,126.29021177600171,1837.7991636666666,212.59166858333333,454.93416591666664
2024-07-04 16:00:00,724.3715662464782,2142.7275290000002,502.9691683333333,456.8733291666667
2024-07-04 17:00:00,1064.3946270595548,2354.5458171666664,858.7016653333334,411.51916508333335
2024-07-04 18:00:00,1008.682810625122,2076.3575031666664,899.0275013333334,383.82249958333335
2024-07-04 19:00:00,1055.9133756053257,1709.4133199166665,893.7466735833333,348.87999983333333
2024-07-04 20:00:00,986.1989132184966,1499.7358296666669,749.79583225,272.52333075
2024-07-04 21:00:00,1008.8490075725916,1453.9208273333334,551.8808364166667,257.41750075
2024-07-04 22:00:00,1001.248855762509,1450.4658405833334,744.2925008333333,283.04916625
2024-07-04 23:00:00,1019.0878453312133,1468.4091797499998,844.1316630833334,298.4333418333333
2024-07-05 00:00:00,1081.2232645334411,1521.9783325833332,849.1366628333334,308.315
2024-07-05 01:00:00,1145.3424438242107,1500.6983336666665,868.0399982499999,269.93000275
2024-07-05 02:00:00,1121.7631153511268,1500.9858194166666,550.9908293333334,314.5583345
2024-07-05 03:00:00,1111.4491008465907,1487.6591797499998,529.7991688333333,309.4575016666667
2024-07-05 04:00:00,1101.8724100820723,1439.7166543333333,849.1274974166666,353.22666425000006
2024-07-05 05:00:00,1145.5376712568836,1390.462483666667,921.6591644166666,356.3833313333333
2024-07-05 06:00:00,1121.5896566439533,1560.289154,915.1275023333334,389.5066654166667
2024-07-05 07:00:00,1071.3504316911444,1768.6599934166668,910.15582775,425.155004
2024-07-05 08:00:00,1084.673138484102,2161.781657,919.4591776666666,434.8658320833333
2024-07-05 09:00:00,1089.225053404738,2352.2291869166665,711.9383290000001,429.4233295833333
2024-07-05 10:00:00,737.0881674091,2557.7441813333335,354.99500016666667,413.699997
2024-07-05 11:00:00,514.804807066008,2660.2791544166666,158.90166483333334,389.89500174999995
2024-07-05 12:00:00,278.7595326322149,2491.3625081666664,122.20833391666667,331.4525045
2024-07-05 13:00:00,352.10984003133,2332.952473916667,94.22166566666665,305.5516635833333
2024-07-05 14:00:00,607.0301862456602,2561.0325316666667,99.82083308333334,283.756663
2024-07-05 15:00:00,971.1912046769112,2919.5033161666665,287.76333358333335,350.49749991666664
2024-07-05 16:00:00,955.6486049360801,3097.5700073333333,577.7558338333333,320.88417050000004
2024-07-05 17:00:00,1065.9193975583173,2889.1374919166665,515.0666655,334.8775024166667
2024-07-05 18:00:00,1134.7626543488461,2729.7016602500003,682.37666825,345.50083416666666
2024-07-05 19:00:00,1100.8659864693973,2448.0225219999998,716.4716593333333,259.14083224999996
2024-07-05 20:00:00,1003.0684398292325,2111.0991821666667,754.2975005833333,199.55583191666665
2024-07-05 21:00:00,911.9813553492854,1833.7799986666666,591.3066711666667,200.45666766666668
2024-07-05 22:00:00,876.499911643716,1630.3808287499999,652.56667575,182.13333391666666
2024-07-05 23:00:00,726.5057251349423,1363.8516744166666,456.6116715,143.35250091666666
