,DK1-offshore,DK1-offshore,DK1-offshore,DK1-onshore,DK1-onshore,DK1-onshore,DK2-offshore,DK2-offshore,DK2-offshore,DK2-onshore,DK2-onshore,DK2-onshore
,normal,cdf,original,normal,cdf,original,normal,cdf,original,normal,cdf,original
2024-07-03 10:00:00,0.61584084000116,0.731000214933824,657.1592767849241,0.8132741974163651,0.7919695663692324,1535.5316773333334,-0.9513582228416194,0.17071128012830128,413.69,-1.0595846828343196,0.14466679250228162,182.05166625
2024-07-03 11:00:00,0.9329538626712766,0.8245781048420292,618.3282013410106,0.8418288822591858,0.8000581286450872,1590.6908365,-0.8754462385072541,0.19066557513820584,353.2091675,-0.777165684593088,0.2185305124860256,193.37000391666666
2024-07-03 12:00:00,0.3970416507553125,0.6543316266475815,568.3198076069864,0.8456711090012355,0.8011318777291643,1576.3816630000001,-0.29922506500677504,0.38238416290320815,371.12333433333333,-0.2612803823949833,0.39693814692462337,196.29916633333335
2024-07-03 13:00:00,-0.1314115752705513,0.44772486616468077,457.30705807993365,1.5327916501947298,0.9373364006943151,1629.4049988333334,-0.1966513764003006,0.4220501814910213,355.815005,-0.5729762853520721,0.28333037548074774,168.939167
2024-07-03 14:00:00,-0.07201762099086988,0.47129394237007527,460.26625915681893,2.0603680863548606,0.9803183172926585,1554.3575135,-0.7295136833374025,0.23284375038316052,258.31166583333334,-0.17072091205710807,0.4322216093908007,176.68583166666667
2024-07-03 15:00:00,0.3478401028420122,0.6360198648230023,456.0012320533341,2.3315868924745664,0.9901387829813996,1511.7600098333332,-0.3879612458926579,0.34902235652761926,273.8658345,-1.2729711775930712,0.101514134859922,135.29999925
2024-07-03 16:00:00,-0.28910367802285086,0.3862510195352182,386.36064830584985,2.353190693863341,0.9906934570381241,1453.4649963333334,-0.002681457472099004,0.49893025452323136,320.81666566666667,-0.7912675045584081,0.21439395338313452,133.83166558333332
2024-07-03 17:00:00,-0.9767056708010688,0.16435744345606118,324.1546797847991,2.1861569620803003,0.9855979381220722,1228.2941691666667,0.03253960234306325,0.5129791326817699,272.039997,0.44825425835200966,0.6730151458155429,179.27500016666667
2024-07-03 18:00:00,-1.2336521806216796,0.10866626999406098,254.74756191846478,1.2377257416188274,0.8920911145135635,946.6516775833334,-0.12505764804524977,0.4502389559832289,249.36416758333334,1.4754087757164012,0.9299486612808749,230.01000208333335
2024-07-03 19:00:00,-1.4949193158721665,0.06746775025854056,196.9200548209775,0.19230178283026506,0.5762470890172351,668.8966574166667,1.8333427641462992,0.9666241932238091,579.9383366666667,1.377442417033017,0.9158122468434031,214.10916766666665
2024-07-03 20:00:00,-1.281351692142768,0.10003508194127969,271.09276578910925,-0.39834981712177026,0.3451861718055012,476.7166723333333,1.7291425506442029,0.9581082073548363,520.89166,0.4731030076280087,0.6819301544364643,159.55416541666668
2024-07-03 21:00:00,-1.3365876472608937,0.09067863669386081,304.9155572715351,-1.4118008953204682,0.07900429739164161,377.8549983333333,0.8345927857766231,0.7980264872853505,409.8899995,0.22427558974233533,0.5887285654998115,144.17999783333335
2024-07-03 22:00:00,-1.1850646035193184,0.11799595242054357,432.29197869678984,-2.3468289033218324,0.009466973524127899,343.1699954166666,0.6581638944511699,0.7447835887366804,417.1066640833333,0.9672197524460091,0.8332829050793544,175.69999841666666
2024-07-03 23:00:00,-0.8118667851948016,0.20843403756261322,463.7049308626152,-0.3974795263855775,0.3455069406434114,438.4358316666667,0.03585932832557833,0.5143027368557449,461.07666775,0.12249286054511264,0.5487456500626205,186.42083241666668
2024-07-04 00:00:00,-0.682580213345033,0.24743607031839396,546.0891585713983,-0.015790598486623158,0.49370072441197704,587.2308399166667,1.935003852693268,0.9735050885461706,644.839175,0.7634314663687249,0.7773969400241847,215.07750075
2024-07-04 01:00:00,-0.2619476693914368,0.39668089374539545,656.1944266130039,-0.46107770656340535,0.32237142775889877,669.51667275,1.6775863366977084,0.9532860590122767,655.3191731666667,0.8611538452921356,0.8054233417596267,196.06166833333336
2024-07-04 02:00:00,-0.1528542891163196,0.4392565920986407,784.8067606421663,-0.9810256629113184,0.16329004321226173,773.4666594166666,1.910052633271047,0.9719367815769702,600.5766602499999,0.4347044499179884,0.6681115160107441,169.67249933333332
2024-07-04 03:00:00,0.11695937163180752,0.5465538754063693,886.7552410868805,-1.5580536748680611,0.059610262444779745,926.0133413333333,1.8364420383413456,0.9668538464788123,546.1249998333334,-2.244490438949693,0.01240043170300658,99.02333375
2024-07-04 04:00:00,-0.14152565622639185,0.44372734664245217,915.6844936969906,-0.8206308976960327,0.2059282713238227,1135.42250575,1.1583660438554826,0.8766426549483403,474.41416675,-1.4845519170296468,0.06883128033296304,124.0541675
2024-07-04 05:00:00,-0.17944706146785142,0.4287933406716634,979.0070083731447,-1.1198176556905635,0.1313957369564981,1351.7183430833334,-0.32477815686782935,0.3726744887132423,364.17583725000003,-0.5143761211987568,0.30349452539630634,162.67416508333335
2024-07-04 06:00:00,0.015082406916504367,0.5060167816931023,1019.7143846481173,-0.8399184229621312,0.20047706366168233,1631.4874876666665,0.04223957287213948,0.5168461419467205,518.9691721666667,-0.34119791951651357,0.36647729470145185,187.86416616666668
2024-07-04 07:00:00,0.6096321570718701,0.7289472475719976,1108.6844388754841,0.4027445193764856,0.6564319102906996,1958.1166892499998,0.8554229413218948,0.8038414761712901,734.0091653333334,-0.7050705039801204,0.24038318067422787,199.12583416666666
