Minutes5DK,DK1-offshore,DK1-onshore,DK2-offshore,DK2-onshore
2022-01-01 00:00:00,1064.3383484166668,894.0933380833334,819.8500010833333,289.145831
2022-01-01 01:00:00,1021.58917225,922.9933318333333,857.4383391666667,316.90916691666666
2022-01-01 02:00:00,1028.11085,841.3958384166667,886.2883350833334,307.3974989166667
2022-01-01 03:00:00,951.0299988333333,742.2483213333334,817.5833283333333,248.22333025
2022-01-01 04:00:00,792.1166636666667,744.6391704166667,659.736664,237.7883339166667
2022-01-01 05:00:00,881.27250675,566.86165875,630.9241638333333,242.05249775000001
2022-01-01 06:00:00,770.2691651666668,518.1608353333334,630.2250111666666,267.0908305
2022-01-01 07:00:00,755.9716645,337.65000158333334,655.419993,242.91583375000002
2022-01-01 08:00:00,462.274999,249.62166725,656.0650024166667,186.52333324999998
2022-01-01 09:00:00,161.3283335,145.86166833333334,579.3274943333333,164.79000208333335
2022-01-01 10:00:00,188.56749716666664,86.87416716666667,511.28916933333335,117.69833375
2022-01-01 11:00:00,209.01249825,108.98500075,402.35000091666666,119.74999866666667
2022-01-01 12:00:00,351.8466681666667,220.94083425,291.7491685,139.12916633333336
2022-01-01 13:00:00,455.68833158333337,333.3550006666667,255.85583,147.53333266666667
2022-01-01 14:00:00,595.2500050833333,433.65083066666665,167.83999975,118.05166741666666
2022-01-01 15:00:00,801.3191731666667,679.6466726666666,88.99250024999999,89.233333
2022-01-01 16:00:00,885.4125010833333,1162.6791585833332,155.61166749999998,100.09499983333335
2022-01-01 17:00:00,920.0933329999999,1570.5183207500002,201.9199981666667,141.90916775
2022-01-01 18:00:00,1108.0449930833333,1770.2716879166667,311.01083124999997,220.39083358333335
2022-01-01 19:00:00,1175.3983255833334,1807.7033285,581.6333314166667,309.19500225
2022-01-01 20:00:00,1168.2058308333333,1907.7558390000002,813.3374990833332,356.2316691666667
2022-01-01 21:00:00,1180.4733379166667,1976.2008464166665,910.0208383333334,392.64083083333327
2022-01-01 22:00:00,1126.6016539166667,1928.9925029166668,935.4458364166667,358.7133305
2022-01-01 23:00:00,1142.6024984166668,1853.25833125,931.5866699166667,331.05583191666665
2022-01-02 00:00:00,1041.7991791666666,1459.1800028333334,923.0466664166667,243.57750075
2022-01-02 01:00:00,923.3766684166667,1393.9108378333333,928.7675019166667,267.3974965
2022-01-02 02:00:00,940.6308338333333,1325.3891703333334,930.6683347500001,352.3933359166667
2022-01-02 03:00:00,929.4866638333333,1155.01499425,939.1225025833334,259.57833225
2022-01-02 04:00:00,906.625,1156.9050089166667,922.12165825,331.3891625833333
2022-01-02 05:00:00,953.2375031666667,1238.5766701666666,891.9399921666667,319.9908346666667
2022-01-02 06:00:00,852.8183339166667,1246.7283224166667,840.6283265000001,297.93416341666665
2022-01-02 07:00:00,821.40917475,1213.5041605,849.0208333333334,285.7891643333333
2022-01-02 08:00:00,692.0149943333332,1135.5466715833334,896.518336,305.29916625
2022-01-02 09:00:00,641.8058369166666,1007.4075064166667,907.0575001666666,305.628329
2022-01-02 10:00:00,469.37333424999997,911.4791716666667,929.4266714166666,299.2325034166667
2022-01-02 11:00:00,350.65583541666666,702.6566670833332,870.5058389166667,286.4841665
2022-01-02 12:00:00,251.5600026666667,551.874995,817.0274964166666,241.84083308333334
2022-01-02 13:00:00,202.67250191666665,490.8049926666667,544.3508350833333,210.21000025
2022-01-02 14:00:00,344.5900013333333,469.0774994166666,364.2024993333334,217.9116655833333
2022-01-02 15:00:00,537.0033239166667,467.91749825000005,430.09583533333335,248.03583391666666
2022-01-02 16:00:00,647.0725046666666,591.2541655,638.8391672500001,248.72916783333335
2022-01-02 17:00:00,642.7383321666666,873.6499991666666,785.5458475,337.38583108333336
2022-01-02 18:00:00,834.6141661666667,1133.3066661666667,906.74249775,384.93916583333333
2022-01-02 19:00:00,971.4641672500001,1507.655833,936.3158315833333,458.50250241666663
2022-01-02 20:00:00,1063.31416825,1731.8150126666667,954.8533275,464.41749591666667
2022-01-02 21:00:00,1038.66499325,1710.4224851666668,953.4050038333334,453.45417025
2022-01-02 22:00:00,917.53333525,1500.8333436666665,947.362503,426.9158351666667
2022-01-02 23:00:00,840.4933318333333,1298.75166825,929.6799926666666,360.205002
2022-01-03 00:00:00,865.30499775,1220.30084225,738.5316670000001,269.37500133333333
2022-01-03 01:00:00,863.199997,1274.4941710833334,551.4633356666667,248.1658325
2022-01-03 02:00:00,861.2250010833333,1318.6233214166666,433.36250558333336,206.20750308333334
2022-01-03 03:00:00,846.4033355,1502.4033203333336,289.8399989166667,216.4666685
2022-01-03 04:00:00,902.51416525,1594.1758320833333,482.34667475,288.7375005833333
2022-01-03 05:00:00,953.2866669166666,1658.46917725,765.7541605833334,337.9883320833333
2022-01-03 06:00:00,1011.3483376666667,1935.9199930000002,843.2391714166666,379.95249925
2022-01-03 07:00:00,966.75417075,2062.813344333333,889.5916543333333,308.11416641666665
2022-01-03 08:00:00,1078.2200010833333,2031.4991658333336,898.73916125,291.82166291666664
2022-01-03 09:00:00,1160.33415725,2375.135844,882.5325014166666,394.71416716666664
2022-01-03 10:00:00,1155.8249918333333,2535.09916175,932.72416175,424.79000333333335
2022-01-03 11:00:00,1156.8099974166666,2711.6475219999998,947.34166475,450.100001
2022-01-03 12:00:00,1176.1849873333333,2794.4908038333338,935.2775014166667,442.8666661666667
2022-01-03 13:00:00,1167.1716511666666,2852.389994333333,942.5558470833333,447.37499991666664
2022-01-03 14:00:00,1171.983317,2873.5900064166667,909.37917075,441.59166458333334
